Contracts,Order No.,Transaction Time(UTC+0),Leverage,Direction,Order Type,Filled Type,Filled Qty,Filled Price,Order Price,Trading Fee Rate,Fees Paid,Transaction ID
ETHUSDT,091-Sell,2023-02-15 08:00:00,5,Open Short,--,Funding,0.07,1546.69,0.00,6.829e-05,0.00739365,6c12721d
SHIB1000USDT,7091-Sel,2023-02-15 08:00:00,10,Open Short,--,Funding,2000,0.012875,0.000000,-7.613e-05,-0.00196034,8d402798
DOGEUSDT,091-Sell,2023-02-15 08:00:00,10,Open Short,--,Funding,441,0.08596,0.00000,-8.9e-07,-3.373e-05,063904d3
MATICUSDT,091-Sell,2023-02-15 08:00:00,10,Open Short,--,Funding,20,1.2360,0.0000,8.899e-05,0.00219984,d22ed8c2
SHIB1000USDT,c142dc1f,2023-02-15 03:19:45,10,Open Short,Limit,Trade,2000,0.012785,0.012660,0.0006,0.015342,88e65086
DOGEUSDT,798d6a35,2023-02-15 03:19:45,10,Open Short,Limit,Trade,231,0.08625,0.08625,0.0001,0.00199238,255585e4
SHIB1000USDT,87190c12,2023-02-15 03:13:53,10,Close Long,Limit,Trade,1150,0.012625,0.012625,0.0001,0.00145188,79867c71
SHIB1000USDT,87190c12,2023-02-15 03:13:50,10,Close Long,Limit,Trade,850,0.012625,0.012625,0.0001,0.00107313,22a988f0
SHIB1000USDT,4a23b2a4,2023-02-15 02:50:14,10,Open Long,Limit,Trade,2000,0.012535,0.012555,0.0006,0.015042,7ef0d6f0
SHIB1000USDT,9726e331,2023-02-15 02:49:58,10,Close Short,Limit,Trade,2000,0.012530,0.012530,0.0001,0.002506,14761938
ETHUSDT,091-Sell,2023-02-15 00:00:00,5,Open Short,--,Funding,0.07,1554.76,0.00,-6.426e-05,-0.00699362,04317132
DOGEUSDT,091-Sell,2023-02-15 00:00:00,10,Open Short,--,Funding,210,0.08355,0.00000,-0.0001,-0.00175455,fc78dfac
MATICUSDT,091-Sell,2023-02-15 00:00:00,10,Open Short,--,Funding,20,1.2571,0.0000,-2.639e-05,-0.00066349,bb2a5960
SHIB1000USDT,7091-Sel,2023-02-15 00:00:00,10,Open Short,--,Funding,2000,0.012745,0.000000,-0.0001,-0.002549,f37b667e
MATICUSDT,e7bfb446,2023-02-14 18:07:06,10,Open Short,Limit,Trade,20,1.2391,1.2391,0.0001,0.0024782,848b62ad
DOGEUSDT,52128333,2023-02-14 18:01:41,10,Open Short,Limit,Trade,210,0.08293,0.08293,0.0001,0.00174153,e1d05554
SHIB1000USDT,8cc09fea,2023-02-14 17:26:25,10,Open Short,Limit,Trade,2000,0.012620,0.012620,0.0001,0.002524,c4810d88
MATICUSDT,b0fd0c6a,2023-02-14 16:00:51,10,Close Short,Limit,Trade,20,1.2388,1.2400,0.0006,0.0148656,c54743a7
MATICUSDT,1da352b0,2023-02-14 16:00:08,10,Open Short,Limit,Trade,20,1.2487,1.2487,0.0001,0.0024974,ff38f823
ETHUSDT,091-Sell,2023-02-14 16:00:00,5,Open Short,--,Funding,0.07,1543.91,0.00,-0.0001,-0.01080737,4931da8b
DOGEUSDT,82bc1d9b,2023-02-14 15:40:00,10,Close Short,Limit,Trade,210,0.08227,0.08227,0.0001,0.00172767,10190ed4
MATICUSDT,29761fdc,2023-02-14 15:39:00,10,Close Short,Limit,Trade,42,1.2064,1.2064,0.0001,0.00506688,b7951c25
SHIB1000USDT,746fd3e6,2023-02-14 15:35:04,10,Close Short,Limit,Trade,2000,0.012525,0.012525,0.0001,0.002505,d359126f
MATICUSDT,52ff2d2c,2023-02-14 15:11:39,10,Open Short,Limit,Trade,13,1.2376,1.2376,0.0001,0.00160888,27aa8c01
MATICUSDT,52ff2d2c,2023-02-14 15:11:39,10,Open Short,Limit,Trade,9,1.2376,1.2376,0.0001,0.00111384,ddef3ad6
SHIB1000USDT,867ba98d,2023-02-14 15:03:46,10,Open Short,Limit,Trade,2000,0.012615,0.012540,0.0006,0.015138,e051645d
SHIB1000USDT,a69efd41,2023-02-14 15:02:29,10,Close Short,Limit,Trade,2000,0.012540,0.012540,0.0001,0.002508,e6b61823
SHIB1000USDT,c651148d,2023-02-14 15:00:37,10,Open Short,Limit,Trade,710,0.012630,0.012540,0.0006,0.00538038,74efcd9d
SHIB1000USDT,c651148d,2023-02-14 15:00:37,10,Open Short,Limit,Trade,80,0.012630,0.012540,0.0006,0.00060624,ebc4cc6c
SHIB1000USDT,c651148d,2023-02-14 15:00:37,10,Open Short,Limit,Trade,80,0.012630,0.012540,0.0006,0.00060624,67865c09
SHIB1000USDT,c651148d,2023-02-14 15:00:37,10,Open Short,Limit,Trade,740,0.012630,0.012540,0.0006,0.00560772,86489bfc
SHIB1000USDT,c651148d,2023-02-14 15:00:37,10,Open Short,Limit,Trade,390,0.012630,0.012540,0.0006,0.00295542,b5c8505e
SHIB1000USDT,a085414e,2023-02-14 14:58:04,10,Close Long,Limit,Trade,4200,0.012640,0.012640,0.0001,0.0053088,cea2fd9f
DOGEUSDT,7ab70710,2023-02-14 14:53:04,10,Open Short,Limit,Trade,210,0.08285,0.08229,0.0006,0.0104391,4368b53e
MATICUSDT,8cb570e5,2023-02-14 14:48:37,10,Open Short,Limit,Trade,20,1.1900,1.1900,0.0001,0.00238,2c3b6f58
DOGEUSDT,fa217090,2023-02-14 14:46:31,10,Close Long,Limit,Trade,210,0.08191,0.08191,0.0001,0.00172011,01f85e18
MATICUSDT,220a695b,2023-02-14 14:37:02,10,Close Long,Limit,Trade,20,1.1765,1.1765,0.0001,0.002353,f8abb2fc
MATICUSDT,47e1ac74,2023-02-14 14:29:21,10,Open Long,Limit,Trade,20,1.1683,1.1683,0.0001,0.0023366,64725aef
DOGEUSDT,1beb4daa,2023-02-14 14:28:11,10,Open Long,Limit,Trade,210,0.08134,0.08134,0.0001,0.00170814,cf48ea88
DOGEUSDT,420d9d71,2023-02-14 14:07:55,10,Close Short,Limit,Trade,210,0.08155,0.08155,0.0001,0.00171255,21f70144
MATICUSDT,fb9ca4a8,2023-02-14 14:06:44,10,Close Short,Limit,Trade,20,1.1815,1.1815,0.0001,0.002363,9029ab34
MATICUSDT,7ac987ea,2023-02-14 14:03:49,10,Open Short,Limit,Trade,20,1.1898,1.1898,0.0001,0.0023796,91ab74fe
MATICUSDT,756fbe43,2023-02-14 13:58:01,10,Close Long,Limit,Trade,66,1.1960,1.1960,0.0001,0.0078936,975ccb36
DOGEUSDT,ee9fb86b,2023-02-14 13:50:47,10,Open Short,Limit,Trade,210,0.08212,0.08212,0.0001,0.00172452,2be15ad6
DOGEUSDT,9c818baa,2023-02-14 13:48:11,10,Close Long,Limit,Trade,210,0.08189,0.08189,0.0001,0.00171969,b7afcc9a
