Название пары,Дата сделки,Стратегия сделки,Цена сделки
DOGEUSDT,2023-02-06 08:28:24,Close Short,210
DOGEUSDT,2023-02-06 07:49:07,Close Long,371
DOGEUSDT,2023-02-06 07:49:07,Close Long,70
SHIB1000USDT,2023-02-06 05:54:36,Close Short,2000
SHIB1000USDT,2023-02-06 05:32:16,Close Long,2000
SHIB1000USDT,2023-02-06 05:27:27,Close Short,2000
SHIB1000USDT,2023-02-06 03:21:07,Close Long,2000
MATICUSDT,2023-02-06 00:42:09,Close Long,40
SHIB1000USDT,2023-02-06 00:28:21,Close Long,2000
SHIB1000USDT,2023-02-05 23:25:28,Close Short,2000
SHIB1000USDT,2023-02-05 22:28:33,Close Long,2000
SHIB1000USDT,2023-02-05 19:09:33,Close Short,2000
SHIB1000USDT,2023-02-05 17:53:59,Close Long,2000
SHIB1000USDT,2023-02-05 17:32:05,Close Short,2000
SHIB1000USDT,2023-02-05 17:18:10,Close Long,2000
SHIB1000USDT,2023-02-05 16:21:26,Close Long,2000
SHIB1000USDT,2023-02-05 16:04:07,Close Long,2000
SHIB1000USDT,2023-02-05 16:00:27,Close Long,2000
SHIB1000USDT,2023-02-05 15:34:40,Close Short,2000
MATICUSDT,2023-02-05 15:32:02,Close Short,20
SHIB1000USDT,2023-02-05 13:35:57,Close Long,2000
MATICUSDT,2023-02-05 12:58:50,Close Long,20
MATICUSDT,2023-02-05 12:57:14,Close Short,121
SHIB1000USDT,2023-02-05 12:56:57,Close Short,18960
DOGEUSDT,2023-02-05 12:15:05,Close Short,210
DOGEUSDT,2023-02-05 06:44:28,Close Long,210
DOGEUSDT,2023-02-05 00:08:24,Close Long,210
DOGEUSDT,2023-02-04 23:47:43,Close Long,210
DOGEUSDT,2023-02-04 23:44:12,Close Short,441
DOGEUSDT,2023-02-04 07:50:20,Close Long,210
DOGEUSDT,2023-02-04 06:03:52,Close Short,210
DOGEUSDT,2023-02-04 03:21:58,Close Long,210
DOGEUSDT,2023-02-04 01:14:49,Close Short,210
DOGEUSDT,2023-02-04 01:04:48,Close Short,210
DOGEUSDT,2023-02-04 00:45:15,Close Short,210
DOGEUSDT,2023-02-04 00:32:06,Close Long,210
SHIB1000USDT,2023-02-03 21:39:39,Close Long,2000
SHIB1000USDT,2023-02-03 17:58:51,Close Short,2000
SHIB1000USDT,2023-02-03 17:37:24,Close Long,2000
SHIB1000USDT,2023-02-03 16:07:59,Close Short,2000
SHIB1000USDT,2023-02-03 15:02:26,Close Short,2000
SHIB1000USDT,2023-02-03 14:46:55,Close Long,2000
SHIB1000USDT,2023-02-03 13:21:19,Close Short,2000
SHIB1000USDT,2023-02-03 11:23:36,Close Long,2000
SHIB1000USDT,2023-02-03 10:25:22,Close Short,4200
SHIB1000USDT,2023-02-03 04:08:25,Close Long,1280
SHIB1000USDT,2023-02-03 04:00:11,Close Long,400
SHIB1000USDT,2023-02-03 03:59:51,Close Long,320
SHIB1000USDT,2023-02-03 00:01:23,Close Long,2000
SHIB1000USDT,2023-02-02 22:01:41,Close Long,2000
SHIB1000USDT,2023-02-02 21:59:31,Close Short,6620
DOGEUSDT,2023-02-02 19:16:46,Close Short,210
DOGEUSDT,2023-02-02 15:33:08,Close Long,210
DOGEUSDT,2023-02-02 14:47:58,Close Long,210
DOGEUSDT,2023-02-02 14:25:00,Close Long,210
DOGEUSDT,2023-02-02 13:46:19,Close Short,441
