Название пары,Дата сделки,Стратегия сделки,Цена сделки
SHIB1000USDT,2022-12-20 07:00:19,Close Long,1400
SHIB1000USDT,2022-12-20 02:43:09,Close Long,3080
LINKUSDT,2022-12-20 02:37:57,Close Long,6.5
SHIB1000USDT,2022-12-19 18:12:26,Close Long,1400
SHIB1000USDT,2022-12-19 17:03:01,Close Long,1400
SHIB1000USDT,2022-12-19 15:13:51,Close Long,1400
SHIB1000USDT,2022-12-19 13:58:17,Close Long,1400
LINKUSDT,2022-12-19 12:40:26,Close Long,3
SHIB1000USDT,2022-12-19 10:54:52,Close Long,1400
SHIB1000USDT,2022-12-18 06:51:15,Close Long,1400
LINKUSDT,2022-12-18 04:11:09,Close Long,3
SHIB1000USDT,2022-12-18 03:58:03,Close Long,1400
SHIB1000USDT,2022-12-18 01:47:13,Close Long,4080
LINKUSDT,2022-12-18 00:01:50,Close Long,14.3
XRPUSDT,2022-12-16 20:32:27,Close Long,90
XRPUSDT,2022-12-16 08:55:06,Close Short,45
SHIB1000USDT,2022-12-16 08:54:47,Close Short,1400
LINKUSDT,2022-12-16 08:54:43,Close Short,3
XRPUSDT,2022-12-16 03:29:38,Close Short,45
SHIB1000USDT,2022-12-15 17:57:09,Close Short,1400
XRPUSDT,2022-12-15 17:57:07,Close Short,45
SHIB1000USDT,2022-12-15 12:58:36,Close Long,2000
ETHUSDT,2022-12-15 12:58:36,Close Long,0.02
ETHUSDT,2022-12-15 01:38:08,Close Short,0.02
SHIB1000USDT,2022-12-15 01:34:38,Close Short,2000
SHIB1000USDT,2022-12-14 20:36:48,Close Long,2000
SHIB1000USDT,2022-12-14 19:41:27,Close Long,2000
ETHUSDT,2022-12-14 19:33:22,Close Long,0.02
SHIB1000USDT,2022-12-14 19:28:38,Close Long,2000
ETHUSDT,2022-12-14 19:07:22,Close Short,0.1
ZENUSDT,2022-12-14 19:02:18,Close Short,20
LDOUSDT,2022-12-14 14:35:26,Close Short,3.1
LDOUSDT,2022-12-14 14:35:26,Close Short,1.9
LDOUSDT,2022-12-14 14:34:11,Close Short,5
KAVAUSDT,2022-12-14 13:16:47,Close Short,15
KAVAUSDT,2022-12-14 12:54:16,Close Short,15
SHIB1000USDT,2022-12-14 10:08:04,Close Long,1400
ETHUSDT,2022-12-14 10:08:03,Close Long,0.01
SHIB1000USDT,2022-12-14 05:19:41,Close Short,1400
SHIB1000USDT,2022-12-14 00:32:37,Close Long,1400
SHIB1000USDT,2022-12-13 14:03:01,Close Short,30
SHIB1000USDT,2022-12-13 14:03:01,Close Short,10
SHIB1000USDT,2022-12-13 14:03:01,Close Short,10
SHIB1000USDT,2022-12-13 14:03:01,Close Short,10
SHIB1000USDT,2022-12-13 14:03:01,Close Short,10
SHIB1000USDT,2022-12-13 14:03:01,Close Short,10
SHIB1000USDT,2022-12-13 14:03:01,Close Short,10
SHIB1000USDT,2022-12-13 14:03:01,Close Short,90
SHIB1000USDT,2022-12-13 14:03:01,Close Short,10
SHIB1000USDT,2022-12-13 14:03:01,Close Short,10
SHIB1000USDT,2022-12-13 14:03:01,Close Short,10
SHIB1000USDT,2022-12-13 14:03:01,Close Short,40
SHIB1000USDT,2022-12-13 14:03:01,Close Short,10
SHIB1000USDT,2022-12-13 14:03:01,Close Short,80
SHIB1000USDT,2022-12-13 14:03:01,Close Short,90
SHIB1000USDT,2022-12-13 14:03:01,Close Short,320
SHIB1000USDT,2022-12-13 14:03:01,Close Short,2190
ETHUSDT,2022-12-13 14:03:00,Close Short,0.02
SHIB1000USDT,2022-12-13 12:00:09,Close Long,1400
ETHUSDT,2022-12-13 09:59:23,Close Long,0.01
SHIB1000USDT,2022-12-13 00:31:12,Close Short,1400
SHIB1000USDT,2022-12-13 00:01:14,Close Long,1400
SHIB1000USDT,2022-12-12 23:15:10,Close Short,1400
ETHUSDT,2022-12-12 21:02:51,Close Long,0.01
SHIB1000USDT,2022-12-12 21:00:04,Close Long,4630
ETHUSDT,2022-12-11 23:02:22,Close Long,0.01
ETHUSDT,2022-12-11 22:38:00,Close Short,0.01
ETHUSDT,2022-12-10 00:24:10,Close Long,0.01
ETHUSDT,2022-12-09 21:06:33,Close Short,0.02
SHIB1000USDT,2022-12-09 12:45:39,Close Short,1400
SHIB1000USDT,2022-12-09 07:27:35,Close Long,1400
